Altnernative codes,BLEED_code,Collection_no,Gene Bank Accession,Genus,HTS Queue,ID confirmed,Identified by,Isolated,Material left,NHM,note,Paper,Preservation,Recieved in Oslo,Scraped,SEM info,Sent by,Sequences Recieved,Species,Bock2018::Author,Bock2018::Full,Sample.Location.Date::Coll_date,Sample.Location.Date::Collection_no,Sample.Location.Date::Collector,Sample.Location.Date::Country,Sample.Location.Date::Cruise details,Sample.Location.Date::Day,Sample.Location.Date::Depth 1,Sample.Location.Date::Depth 2,Sample.Location.Date::Location details,Sample.Location.Date::Month,Sample.Location.Date::Place,Sample.Location.Date::Standardized Lat,Sample.Location.Date::Standardized Long,Sample.Location.Date::Station_id,Sample.Location.Date::Year,Worms::Family,Worms::Order
"SRDY39, LHL8",8,OS20,,Micropora,,,,,None,,,,Ethanol,3.6.2014,,,Seabourne Rust,,sp.,,,26/01/2010,OS20,A. M. Smith,NZ,,26,100,,,1,Otago Shelf,-47.28,167.67,,2010,Microporidae,Cheilostomatida
"SRDY51, LHL9",9,OS28,,Microporella,,,,,None,,,,Ethanol,3.6.2014,,,Seabourne Rust,,agonistes,"Gordon, 1984","MICROPORELLA AGONISTES Gordon, 1984",28/01/2010,OS28,A. M. Smith,NZ,,28,200,,,1,Otago Shelf,-47.3,167.11,,2010,Microporellidae,Cheilostomatida
"SRDY64, LHL10",10,PU2,,Microporella,5.1.2018 (RJSO),,,,None,,"Was originally BLEED 20 duplicate, now change to BLEED 10...why (RJSO)? 

Do we have a SEM of this? Or any material for SEM?",,Ethanol,3.6.2014,,,Seabourne Rust,27.1.2018 (RJSO),cf. intermedia,,,17/01/2009,PU2,"Smith, Abigail M. ",NZ,,17,120,,,1,Puysegur,-46.04,166.38,,2009,Microporellidae,Cheilostomatida
"SRDY24, LHL11",11,OS7,"MG977044, MG977075, MG977091, MG977103, MG977126",Microporella,,Dennis Gordon,"SR, EE",,,,"18S, 16S, 12S, cox1, cox3, cytb EE thesis",,Ethanol,3.6.2014,,,Seabourne Rust,,n. sp. 2,,,24/01/2010,OS7,"Smith, Abigail M. ",New Zealand,,24,88,,,1,Otago Shelf,-45.84,170.89,,2010,Microporellidae,Cheilostomatida
"SRDY20, LHL12",12,OS4,,Microporella,,,,,None,,,,Ethanol,3.6.2014,,,Seabourne Rust,,intermedia?,,,23/01/2010,OS4,A. M. Smith,NZ,,23,85,,,1,Otago Shelf,-45.52,171.12,,2010,Microporellidae,Cheilostomatida
"SRDY44, LHL13, LHL14",13,OS24,,Microporella,,,,,None,,EE thesis,,Ethanol + dry,3.6.2014,,,Seabourne Rust,,agonistes,"Gordon, 1984","MICROPORELLA AGONISTES Gordon, 1984",26/01/2010,OS24,A. M. Smith,NZ,,26,162,,,1,Otago Shelf,-47.72,167.57,,2010,Microporellidae,Cheilostomatida
"LHL16, LHL21",14,Qingdao_B1_KZ,,Microporella,,,,03.07.2018 (LT),,,"we also have a dry sample that needs checking. I have given it the same bleed nr as it was labeled LHL16. RJSO

found ""mystery"" box in cold room (so there might be another BLEED 14 and we now have two tubes from the mystery box)

Qubit: 38.5",,Ethanol,12.10.2015,9.4.2018 (RJSO),"MHR.091.BLEED.014
MHR.092.BLEED.014
MHR.127.BLEED.014
MHR.128.BLEED.014",Kamil Zágoršek,,sp.,,,3.9.2015,Qingdao_B1_KZ,"Zargoszek, Kamil",China,,3,0,,"No 1 Beach was artificial (plastic, floating ball)",9,Qingdao,36.05,120.333,,2015,Microporellidae,Cheilostomatida
"LHL18, LHL19, LHL20",15,Qingdao_B1_KZ,,Fenestrulina,,,,,,,"orientalis 2
18S, 16S, 12S,cox3 EE thesis",,Ethanol,12.10.2015,,,Kamil Zágoršek,,orientalis?,,,3.9.2015,Qingdao_B1_KZ,"Zargoszek, Kamil",China,,3,0,,"No 1 Beach was artificial (plastic, floating ball)",9,Qingdao,36.05,120.333,,2015,Fenestrulinidae,Cheilostomatida
"LHL22, LHL23",16,SSBLEED2,,Microporella,,,Antonieta Rosso,,,,"Isolated by EE, but did not work - small piece left
Lisbeth Thorbek LT 21.11.17 Tissue Extraction; SEM voucher saved; hard calcified stick
too little DNA isolated for HiSeq
See email 26.10.2015 (this is via EDM)

Diporula before, now Microporella",,Ethanol?,26.10.2015,21.11.17 (LT),,Antonieta Rosso,,verrucosa,"Peach, 1868","Microporella verrucosa Peach, 1868",,SSBLEED2,Antonietta Rosso,Italy,,,60,,,,"West Ionian Sea, off Sicily",,,,,Microporellidae,Cheilostomatida
LHL24,17,SSBLEED3,"MG977039, MG977059, MG977074, MG977105,MG977128",Fenestrulina,,PDT,"PT, MSJ",,None,,"18S, 16S, 12S, cox3, cytb EE thesis",,100% Ethanol,2015,,,,,malusii,"(Audouin in Savigny, 1826)","Fenestrulina malusii (Audouin in Savigny, 1826)",20/06/2015,SSBLEED3,Jo Porter,UK,Larwood Dive,20,,,"Scpa Flow, Orkney Islands ",6,Scotland,,,,2015,Fenestrulinidae,Cheilostomatida
"LHL25, LHL26",18,SSBLEED4,,Microporella,,,EE,04.07.2018 (LT),,,"18S, 16S, 12S, cox3, cytb EE thesis

we also have a dry sample that needs checking. I have given it the same bleed nr as it was labeled LHL18. No other markings. RJSO


Qubit: 12.2",,Ethanol,8.12.2015,9.4.2018 (RJSO),"MHR.407.BLEED.018.tif
MHR.408.BLEED.018.tif
MHR.431.BLEED.018.tif
MHR.432.BLEED.018.tif","Kamil Zágoršek, Ji Eun Seo",,neocribroides?,,,10/07/2015,SSBLEED4,Bumsik/Ji Eun?,South Korea,,10,15,22,,7,"Jik-do, Maldo-ri, Okdo-myeon, Gunsan-si, Jeollabuk-do,",35.888,126.071,,2015,Microporellidae,Cheilostomatida
LHL27,19,SSBLEED4,,Microporella,,,EE,04.07.2018 (LT),,,"18S, 16S, 12S, cox3 EE thesis

Mali: ""BLEED nr. 19 har en anascan bryozoa ved siden av som dekker ca. 30% av skjellet (rører ikke Microporellaen)""

Qubit: 19.7",,Ethanol,8.12.2015,9.4.2018 (RJSO),"MHR.137.BLEED.019	
MHR.138.BLEED.019	
MHR.181.BLEED.019	
MHR.182.BLEED.019	","Kamil Zágoršek, Ji Eun Seo",,neocribroides?,,,10/07/2015,SSBLEED4,Bumsik/Ji Eun?,South Korea,,10,15,22,,7,"Jik-do, Maldo-ri, Okdo-myeon, Gunsan-si, Jeollabuk-do,",35.888,126.071,,2015,Microporellidae,Cheilostomatida
LHL28,20,SSBLEED4,"MG977045
MG977061
MG977076
MG977086
MG977099
MG977119",Fenestrulina,,,"KZ, EE",,None,,"Swop info with BLEED10 (original dupicateed BLEED20)

Substrate: on rock

Mali: ""Ikke spor etter ""unknown"" hverken på bilde eller i vouchermaterialet, så dropp unknown?""

published in Emily paper already",,Ethanol,8.12.2015,,"
MHR.643.BLEED.020.tif
MHR.644.BLEED.020.tif","Kamil Zágoršek, Ji Eun Seo",31.5.2017 (MH),orientalis?,,,10/07/2015,SSBLEED4,Bumsik/Ji Eun?,South Korea,,10,15,22,,7,"Jik-do, Maldo-ri, Okdo-myeon, Gunsan-si, Jeollabuk-do,",35.888,126.071,,2015,Fenestrulinidae,Cheilostomatida
LHL29,21,SSBLEED5,,Microporella,,,EE,04.07.2018 (LT),,,"18S, 16S, 12S, cox3 EE thesis
we also have a dry sample that needs checking. I have given it the same bleed nr as it was labeled LHL29. RJSO 
this one dried and rehydrated 26.4.2018 LHL

Mali: ""other bryozoans""

Qubit: 52.3",,Ethanol,8.12.2015,9.4.2018 (RJSO),"MHR.143.BLEED.021
MHR.144.BLEED.021
","Kamil Zágoršek, Ji Eun Seo",,neocribroides?,,,24/10/2015,SSBLEED5,Kamil Zágoršek/Joungjin,South Korea,,24,3,5,,10,"Ong-do Gauido-ri, Geunheung-myeon, Taean-gun, Chungcheongnam-do",,,,2015,Microporellidae,Cheilostomatida
LHL30,22,SSBLEED5,,Fenestrulina,,,,,Yes,,"18S, 16S, 12S, cox3 EE thesis

8.12.2015",,Ethanol,8.12.2015,,,"Kamil Zágoršek, Ji Eun Seo",,sp.,,,24/10/2015,SSBLEED5,Kamil Zágoršek/Joungjin,South Korea,,24,3,5,,10,"Ong-do Gauido-ri, Geunheung-myeon, Taean-gun, Chungcheongnam-do",,,,2015,Fenestrulinidae,Cheilostomatida
"SRDY04, LHL31, LHL32",23,CA3,,Calloporina,,,,04.07.2018 (LT),,,"12S, cox3, cytb EE thesis

Mali: ""Nr. 23 har en liten Valdemunitella valdemunita koloni (dekker ca. 5%), en Microporella som Calloporina angustipora har vokst over, så her kan man ha fått med litt Microporella med seg, en Filaguria (dekker ca. 3%) og en Eurystomella biperforata (dekker ca. 5%)""

QUbit: 33.7",,Ethanol,3.6.2014,9.4.2018 (RJSO),"MHR.109.BLEED.023
MHR.110.BLEED.023
MHR.185.BLEED.023	
MHR.186.BLEED.023	",Seabourne Rust,,augustipora,,,22/03/2009,CA3,A. M. Smith,NZ,,22,143,,,3,,-52.62,169.32,,2009,Microporellidae,Cheilostomatida
"LHL33, LHL34",24,NIWA 56945,,Microporella,,,DPG,14.2.2018 (LT),,,"NIWA Donation 2015-027D 
03/07/2015
16S, 12S, cox3, cytb EE thesis
",,Ethanol,4.8.2015,22.1.2018 (RJSO),,Sadie Mills,,ordo,"Brown, 1952","MICROPORELLA ORDO Brown, 1952",15/07/2009,NIWA 56945,NIWA,NZ,Oceans Survey 20/20 Bay of Islands,15,65,54,"Site Z9, Bay of Islands",7,,-34.378,173.027,TAN0906/170,2009,Microporellidae,Cheilostomatida
,,,,,,,,,,,,,,,,,,,,"Brown, 1952","MICROPORELLA ORDO Brown, 1952",,,,,,,,,,,,,,,,,
LHL35,25,NIWA 74424,,Microporella,,,DPG,,,,"NIWA Donation 2015-027D 
03/07/2015",,Ethanol,4.8.2015,,"MHR.139.BLEED.025	
MHR.140.BLEED.025	",Sadie Mills,,agonistes,"Gordon, 1984","MICROPORELLA AGONISTES Gordon, 1984",17/05/2011,NIWA 74424,NIWA,NZ,Biogenic Habitats on the Continental Shelf Leg 2,17,75,71,Otago Shelf - bryozoan thickets,5,Otago Shelf,,,TAN1108/66,2011,Microporellidae,Cheilostomatida
LHL35,26,NIWA 75058,,Microporella,,,DPG,,Yes,,"NIWA Donation 2015-027D 
03/07/2015
Isolated by EE, several pieces left",,Ethanol,4.8.2015,,,Sadie Mills,,agonistes,"Gordon, 1984","MICROPORELLA AGONISTES Gordon, 1984",28/05/2011,NIWA 75058,NIWA,NZ,Biogenic Habitats on the Continental Shelf Leg 2,28,46,41,Table Cape - Cabbage Patch,5,,,,TAN1108/179,2011,Microporellidae,Cheilostomatida
LHL37,27,NIWA 56317,,Microporella,,,DPG,,Yes,,"NIWA Donation 2015-027D 
03/07/2015
discors 2
16S, 12S, cox3 EE thesis",,Ethanol,4.8.2015,,,Sadie Mills,,intermedia (discors),,,13/07/2009,NIWA 56317,NIWA,NZ,Oceans Survey 20/20 Bay of Islands,13,77,72,"Site A16, Bay of Islands",7,,-34.707,173.31,TAN0906/143,2009,Microporellidae,Cheilostomatida
LHL38,28,NIWA 74423,,Fenestrulina,,,DPG,,None,,"NIWA Donation 2015-027D 
03/07/2015


EDM: not found",,Ethanol,4.8.2015,,,Sadie Mills,,sp. (disjuncta),,,17/05/2011,NIWA 74423,NIWA,NZ,Biogenic Habitats on the Continental Shelf Leg 2,17,75,71,Otago Shelf - bryozoan thickets,5,,-45.931,170.788,TAN1108/66,2011,Fenestrulinidae,Cheilostomatida
"LHL39, LHL41",29,NIWA 56622,,Calloporina,,,DPG,,,,"NIWA Donation 2015-027D 
03/07/2015

too little DNA isolated for HiSeq",,Ethanol,4.8.2015,18.1.2018 (RJSO),,Sadie Mills,,triporosa,"Powell, 1967","CALLOPORINA TRIPOROSA Powell, 1967",14/07/2009,NIWA 56622,NIWA,NZ,Oceans Survey 20/20 Bay of Islands,14,59,59,"Site Z4, North Cape",7,,-34.388,173.041,TAN0906/159,2009,Microporellidae,Cheilostomatida
LHL40,30,SSBLEED6,"MG977041
MG977108
MG977127",Fenestrulina,5.1.2018 (RJSO),,DPG,,None,,"EE thesis (18S, 16S, cox3, cytb )

The HiSeq result is showing another Bryozoan and not a Fenestrulina. The sequences don't match either from the previous work. so we need to SEM Bleed30 again

This has to be completely ditched (Emiy's is a Fenestrulina but not what RJSO sequenced, and we have no material left) But RJSO sequenced a bryozoan

chaperiidae also sequenced  no voucher

Chaperiopsis_sp_BLEED30_NoVou 
",,Ethanol,,,,,27.1.2018 (RJSO),thyrephora,,,20/05/2015,SSBLEED6,Dennis Gordon,New Zealand,,20,0,,,5,"Castlepoint, Wairarapa",-40.9,176.217,,2015,Fenestrulinidae,Cheilostomatida
LHL42,31,NIWA 54418,"MW134993.1, MW159908.1",Steginoporella,27.9.2019 (RJSO),,KV,5.9.2019 (RJSO),no,NHMO H1496,"NIWA Donation 2015-027D 
03/07/2015
27.8.2019 (EDM LHL) was labelled as Fenestrulina cf. incompta (by DPG) but is a Steginoporella put in for KJV

Mail: ""31 har jeg ikke tatt bilder av enda for SEM-materialet er Steginoporella, men står at det skal være en Fenestrulina, så er usikker på hva som har skjedd her""



5.9.2019 (RJSO) Qubit too low",,Ethanol,4.8.2015,25.1.2019 (RJSO) 27.8.2019 (EDM LHL),"MHR.2243.BLEED.031.tif
MHR.2243.BLEED.031.txt
MHR.2244.BLEED.031.tif
MHR.2244.BLEED.031.txt


MHR.2271.BLEED.031.tif
MHR.2271.BLEED.031.txt
MHR.2272.BLEED.031.tif
MHR.2272.BLEED.031.txt",Sadie Mills,26.11.2019 (RJSO),discors,,,04/07/2009,NIWA 54418,NIWA,NZ,Oceans Survey 20/20 Bay of Islands,4,60,61,"Site Z8, Bay of Islands",7,Bay of Islands,,,TAN0906/2,2009,Steginoporellidae,Cheilostomatida
LHL43,32,SSBLEED7,,Microporella,,,Matt Dick,03.07.2018 (LT),,,"more in fridge, nice colonies for morphology
3x samples Isolated by EE, but did not work

Ready for SEM and DNA isolation (RJSO 9.4.18)
PULL THIS

Mali ""32 har en Celleporina(?) koloni som dekker ca. 10%, en Valdemunitella valdemunita koloni som dekker ca. 20% (denne ligger også under Microporellaen, så her kan man uheldigvis fått med litt av den) og en liten Antarctothoa tongima koloni (dekker mindre enn 3%)""

Qubit: 7.66",,Ethanol,16.022015,9.4.2018 (RJSO),"MHR.148.BLEED.032	
MHR.148.BLEED.032
MHR.205.BLEED.032	
MHR.206.BLEED.032		",,,luella?,,,16/07/2005,SSBLEED7,"Dick, Matt H.  ",Japan,,16,0,,,7,"Akkeshi Bay, Hokkaido",42.976,144.725,,2005,Microporellidae,Cheilostomatida
LHL44,33,SSBLEED7,"MZ678029,OK245160",Microporella,27.9.2019 (RJSO),,"Dick, Matt H.  ",26.6.2019 (RJSO) 25.8.29 (RJSO) Qubit redone,,NHMO H 1939,"3x samples Isolated by EE, but did not work

Maii: ""33: Tree andre cheiloer til stedet (5-10%). Ser ikke ut som noen av de har blitt skrapt. 

Mali 28.4.220: 033: SEM'd Celleporella, an anascan that needs to be bleached and a porella like cheilostome
EDM: I think what we have in the tree is the Porella-like 033C because very similar to the Lepraliella. I need the Lepraliella contigua BLEED886 photos to compare the taxa and in case ask Dennis.

There is one sequenced in the Plesiochelidoschama osition latbeld Hioppoporella????no vou",Orr et al. Fall 2021 MS,Ethanol,16.022015,"23.11.18 (RJSO)
","MHR.1741.BLEED.033.tif
MHR.1742.BLEED.033.tif
MHR.1761.BLEED.033.tif
MHR.1762.BLEED.033.tif
MHR.4787.BLEED.033A.tif
MHR.4788.BLEED.033A.tif
MHR.4789.BLEED.033B.tif
MHR.4790.BLEED.033B.tif
MHR.4791.BLEED.033C.tif
MHR.4792.BLEED.033C.tif
MHR.4861.BLEED.033B.tif
MHR.4862.BLEED.033B.tif
",,26.11.2019 (RJSO),trigonellata,"Suwa & Mawatari, 1998","MICROPORELLA TRIGONELLATA Suwa & Mawatari, 1998",16/07/2005,SSBLEED7,"Dick, Matt H.  ",Japan,,16,0,,,7,"Akkeshi Bay, Hokkaido",42.976,144.725,,2005,Microporellidae,Cheilostomatida
LHL45,34,"Qingdao_B1_KZ
",,Fenestrulina,,,,,,,"Isolated by EE, more material left",,Ethanol,12.10.2015,22.1.2018 (RJSO),,Kamil Zágoršek,,sp.,,,3.9.2015,Qingdao_B1_KZ,"Zargoszek, Kamil",China,,3,0,,"No 1 Beach was artificial (plastic, floating ball)",9,Qingdao,36.05,120.333,,2015,Fenestrulinidae,Cheilostomatida
LHL46,35,SSBLEED8,,Microporella,,,,03.07.2018 (LT),,,Qubit: 0.582,,Ethanol,,9.4.2018 (RJSO),"MHR.403.BLEED.035.tif
MHR.404.BLEED.035.tif
MHR.429.BLEED.035.tif
MHR.430.BLEED.035.tif",,,aff ciliata,,,,SSBLEED8,Antonietta Rosso,Italy,,,,,"Ciclopi Islands, Sicily",,Sicily,,,SM.1.Z 25,,Microporellidae,Cheilostomatida
LHL47,36,,,Microporella,,,,03.07.2018 (LT),,,"sp? Fanny Charles?, Not sure - but was given to LHL during the IBA conf 2016 16.3.16 date 

Qubit: 0.676",,Ethanol,2016,9.4.2018 (RJSO),"MHR.053.BLEED.036.tif
MHR.054.BLEED.036.tif",,,sp.,,,,,,,,,,,,,,,,,,Microporellidae,Cheilostomatida
"SRDY52, LHL48, LHL49, LHL50",37,OS29,"MW135003.1, MW173840.1, MW159909.1",Taylorus,26.09.18 (RJSO),,,28.08.2018 (LT),"none
",NHMO H1497,"found ""mystery"" box in cold room, two tubes

Qubit: 44,4",,Ethanol,3.6.2014,29.6.2018 (RJSO),"MHR.1027.BLEED.037(x40).tif
MHR.1027.BLEED.037(x40).txt
MHR.1028.BLEED.037(x80).tif
MHR.1028.BLEED.037(x80).txt
MHR.1039.BLEED.037.tif
MHR.1039.BLEED.037.txt
MHR.1040.BLEED.037.tif
MHR.1040.BLEED.037.txt
MHR.6121.BLEED.037.tif
MHR.6121.BLEED.037.txt
MHR.6122.BLEED.037.tif
MHR.6122.BLEED.037.txt",Seabourne Rust,24.10.2018 (RJSO),arcuatus ,,,28/01/2010,OS29,A. M. Smith,NZ,,28,125,,,1,Otago Shelf,-47.27,167.3,,2010,Escharinidae,Cheilostomatida
"LHL51, LHL55",38,SSBLEED9,"MK894408, MK894359, MN131168",Adeonella,,,,,,NHMO H 1445,"MH, isolated two samples from this (LHL51 and 55)
",,Ethanol + dry,,,"edm5846
edm5847
edm5848
edm5849
edm5850
edm5851
edm5852

Marianne
001_10v_x60_BSE_BLEED38_2.tif
001_10v_x60_BSE_BLEED38.tif
001_10v_x60_BSE_BLEED38.txt
002_10v_x80_MIX_BLEED38.tif
002_10v_x80_MIX_BLEED38.txt
",Björn Berning,31.5.2017 (MH),calveti,"Canu & Bassler, 1930","ADEONELLA CALVETI Canu & Bassler, 1930",20.8.2016,SSBLEED9,"RV Meteor, M69, shipboard party",Algeria,"RV ""Meteor""",20,90,,,8,off Oran,36.001,0.094,M69-317B,2016,Adeonidae,Cheilostomatida
"LHL52, LHL56",39,SSBLEED10,"MK894409, MK894360, MN131145",Adeonella,,,Katarina Achilleos,,,NHMO H 1444,"same colony as the one that is sequenced

BB has more (may be a new species)<",,Ethanol,,,"Marianne:
003_10v_x60_BSE_BLEED39_2.tif
003_10v_x60_BSE_BLEED39.tif
003_10v_x60_BSE_BLEED39.txt
004_10v_x80_MIX_BLEED39.tif
004_10v_x80_MIX_BLEED39.txt

MHR.985.BLEED.039(x40).tif
MHR.985.BLEED.039(x40).txt
MHR.986.BLEED.039(x80).tif
MHR.986.BLEED.039(x80).txt

MHR.1275.BLEED.039.tif
MHR.1275.BLEED.039.txt
MHR.1276.BLEED.039.tif
MHR.1276.BLEED.039.txt
MHR.1277.BLEED.039.tif
MHR.1277.BLEED.039.txt
MHR.1278.BLEED.039.tif
MHR.1278.BLEED.039.txt
MHR.1279.BLEED.039.tif
MHR.1279.BLEED.039.txt
MHR.1280.BLEED.039.tif
MHR.1280.BLEED.039.txt",Björn Berning,31.5.2017 (MH),pallasii,"(Heller, 1867)","Adeonella pallasii (Heller, 1867)",24.06.2018,SSBLEED10,"Achilleos, K.",Cyprus,,24,100,200,,6,off SW Cyprus,35.046,32.224,,2018,Adeonidae,Cheilostomatida
"LHL53, LHL57",40,SSBLEED11,"MK894410, MK894361, MN131165",Adeonella,15.2.2018 (RJSO),,,14.2.2018 (LT),,NHMO H 1443,,,Ethanol,,18.1.2018 (RJSO),"LHL.003, LHL.004, LHL.005

MHR.1319.BLEED.040.tif
MHR.1319.BLEED.040.txt
MHR.1320.BLEED.040.tif
MHR.1320.BLEED.040.txt

MHR.1335.BLEED.040.tif
MHR.1335.BLEED.040.txt
MHR.1336.BLEED.040.tif
MHR.1336.BLEED.040.txt",Björn Berning,24.5.2018 (RJSO),pallasii,"(Heller, 1867)","Adeonella pallasii (Heller, 1867)",05. July 2005,SSBLEED11,"Novosel, Maja",Croatia,,5,4,,,7,Korčula,42.912,17.178,,2005,Adeonidae,Cheilostomatida
"LHL54, LHL58, LHL59",41,SSBLEED11,"MK894387, MK894371, MN131160",Reptadeonella,,"Berning, Björn",BB,,,NHMO H 1431,"This is a new species, and BB has more of it if the growing edge if necessary

(label says ""lombarda"" which is city south of Korcula - no need to do more right now",,Ethanol,,,"edm5836
edm5837
edm5838
edm5839
edm5840
edm5841
edm5842
edm5843
edm5844
edm5845
",Björn Berning,31.5.2017 (MH),aff. violacea,,,05. July 2005,SSBLEED11,"Novosel, Maja",Croatia,,5,4,,,7,Korčula,42.912,17.178,,2005,Adeonidae,Cheilostomatida
"LHL60, LHL61",42,SSBLEED12,,Reptadeonella,,,,,No (but scrapped in eppendorf (in freezer)),,,,Ethanol,,RJSO (Spring 2018),,,,violacea,"(Johnston, 1847)","Reptadeonella violacea (Johnston, 1847)",,SSBLEED12,R. Melzer(Munich) Björn Berning,Croatia,,,,,,,off Rovinj,,,,,Adeonidae,Cheilostomatida
,,,,,,,,,,,,,,,,,,,,"(Johnston, 1847)","Reptadeonella violacea (Johnston, 1847)",,,,,,,,,,,,,,,,,
LHL62,43,SSBLEED11,,Adeonella,,,,4.5.2018 (LT),No (but scrapped in eppendorf (in freezer)),,,,Ethanol,,13.2.2018 (RSJO),"MHR.095.BLEED.043
MHR.096.BLEED.043
MHR.121.BLEED.043
MHR.122.BLEED.043",Björn Berning,,pallasii,"(Heller, 1867)","Adeonella pallasii (Heller, 1867)",05. July 2005,SSBLEED11,"Novosel, Maja",Croatia,,5,4,,,7,Korčula,42.912,17.178,,2005,Adeonidae,Cheilostomatida
LHL63,44,SSBLEED13,,Reptadeonella,,,,,No (but scrapped in eppendorf (in freezer)),,,,Ethanol,,RJSO (Spring 2018),,,,violacea,"(Johnston, 1847)","Reptadeonella violacea (Johnston, 1847)",,SSBLEED13,Björn Berning,Azores,,,,,,,Azores,,,,,Adeonidae,Cheilostomatida
,,,,,,,,,,,,,,,,,,,,"(Johnston, 1847)","Reptadeonella violacea (Johnston, 1847)",,,,,,,,,,,,,,,,,
LHL64,45,TS-6,"MZ67759MZ677961,OK244858",Fenestrulina_sp_SEQ_BLEED45,15.2.2018 (RJSO),,,14.2.2018 (LT),,,"four tubes, probably the same thing

original IS is Adeonellopsis

FLAG: Mali should prioritize the SEM of this, RJSO did not sequence a Adeonellopsis: Fenestrulina is sequnced
Mali: ""Ikke spor etter ""unknown"" hverken på bilde eller i vouchermaterialet, så dropp unknown?""



Fenestrulina_sp_SEQ_BLEED45",Orr et al. Fall 2021 MS,Ethanol,1.11.2016,,"MHR.1281.BLEED.045.tif
MHR.1281.BLEED.045.txt
MHR.1282.BLEED.045.tif
MHR.1282.BLEED.045.txt

MHR.1285.BLEED.045.txt
MHR.1286.BLEED.045.tif
MHR.1286.BLEED.045.txt",Thomas Schwaha (via Christine Meyer),24.5.2018 (RJSO),,,,14.10.2016,TS-6,Thomas Schwaha,New Zealand,Polaria II Third Snares Cruise Oct 2016,14,167,,2 h N of Snares,10,Snares,-47.823,166.768,,2016,,
