Name_of_file,SEM_no,Bleached,BLEED_no,Date,COMMENTS,
MHR.040.BLEED.435,MHR.040,no,435,4/17/2018,,
MHR.041.BLEED.442,MHR.041,no,442,4/17/2018,,
MHR.042.BLEED.442,MHR.042,no,442,4/17/2018,,
MHR.043.BLEED.443,MHR.043,no,443,4/17/2018,,
MHR.044.BLEED.443,MHR.044,no,443,4/17/2018,,
MHR.045.BLEED.232,MHR.045,no,232,4/17/2018,,
MHR.046.BLEED.232,MHR.046,no,232,4/17/2018,,
MHR.047.BLEED.416,MHR.047,no,416,4/18/2018,,
MHR.048.BLEED.416,MHR.048,no,416,4/18/2018,,
MHR.049.BLEED.428,MHR.049,no,428,4/18/2018,,
MHR.050.BLEED.428,MHR.050,no,428,4/18/2018,,
MHR.051.BLEED.218,MHR.051,no,218,4/18/2018,other bryozoans present,
MHR.052.BLEED.218,MHR.052,no,218,4/18/2018,other bryozoans present,
MHR.053.BLEED.036,MHR.053,no,36,4/18/2018,,
MHR.054.BLEED.036,MHR.054,no,36,4/18/2018,,
MHR.055.BLEED.442,MHR.055,yes,442,4/18/2018,,
MHR.056.BLEED.442,MHR.056,yes,442,4/18/2018,,
MHR.057.BLEED.443,MHR.057,yes,443,4/18/2018,,
MHR.058.BLEED.443,MHR.058,yes,443,4/18/2018,,
MHR.059.BLEED.434,MHR.059,yes,434,4/18/2018,,
MHR.060.BLEED.434,MHR.060,yes,434,4/18/2018,,
MHR.061.BLEED.435,MHR.061,yes,435,4/18/2018,,
MHR.062.BLEED.435,MHR.062,yes,435,4/18/2018,,
MHR.063.BLEED.256,MHR.063,yes,256,4/18/2018,other bryozoans present,
MHR.064.BLEED.256,MHR.064,yes,256,4/18/2018,other bryozoans present,
MHR.065.BLEED.389,MHR.065,yes,389,4/18/2018,,
MHR.066.BLEED.389,MHR.066,yes,389,4/18/2018,,
MHR.067.BLEED.436,MHR.067,no,436,4/18/2018,,
MHR.068.BLEED.436,MHR.068,no,436,4/18/2018,,
MHR.069.BLEED.437,MHR.069,no,437,4/18/2018,,
MHR.070.BLEED.437,MHR.070,no,437,4/18/2018,,
MHR.071.BLEED.126,MHR.071,no,126,4/18/2018,,
MHR.072.BLEED.126,MHR.072,no,126,4/18/2018,,
MHR.073.BLEED.410,MHR.073,no,410,4/19/2018,other bryozoans present,
MHR.074.BLEED.410,MHR.074,no,410,4/19/2018,other bryozoans present,
MHR.075.BLEED.248,MHR.075,no,248,4/19/2018,,
MHR.076.BLEED.248,MHR.076,no,248,4/19/2018,,
MHR.077.BLEED.425,MHR.077,no,425,4/19/2018,,
MHR.078.BLEED.425,MHR.078,no,425,4/19/2018,,
MHR.079.BLEED.437,MHR.079,yes,437,4/19/2018,,
MHR.080.BLEED.437,MHR.080,yes,437,4/19/2018,,
MHR.081.BLEED.436,MHR.081,yes,436,4/19/2018,,
MHR.082.BLEED.436,MHR.082,yes,436,4/19/2018,,
MHR.083.BLEED.428,MHR.083,yes,428,4/19/2018,,
MHR.084.BLEED.428,MHR.084,yes,428,4/19/2018,,
MHR.085.BLEED.440,MHR.085,yes,440,4/19/2018,,
MHR.086.BLEED.440,MHR.086,yes,440,4/19/2018,,
MHR.087.BLEED.208,MHR.087,no,208,4/19/2018,,
MHR.088.BLEED.208,MHR.088,no,208,4/19/2018,,
MHR.089.BLEED.227,MHR.089,no,227,4/19/2018,other bryozoans present,
MHR.090.BLEED.227,MHR.090,no,227,4/19/2018,other bryozoans present,
MHR.091.BLEED.014,MHR.091,no,14,4/19/2018,other bryozoans present,
MHR.092.BLEED.014,MHR.092,no,14,4/19/2018,other bryozoans present,
MHR.093.BLEED.082,MHR.093,no,82,4/19/2018,other bryozoans present,
MHR.094.BLEED.082,MHR.094,no,82,4/19/2018,other bryozoans present,
MHR.095.BLEED.043,MHR.095,no,43,4/19/2018,,
MHR.096.BLEED.043,MHR.096,no,43,4/19/2018,,
MHR.097.BLEED.390,MHR.097,no,390,4/19/2018,,
MHR.098.BLEED.390,MHR.098,no,390,4/19/2018,,
MHR.099.BLEED.116,MHR.099,no,116,4/19/2018,other bryozoans present,
MHR.100.BLEED.116,MHR.100,no,116,4/19/2018,other bryozoans present,
MHR.101.BLEED.129,MHR.101,no,129,4/19/2018,,
MHR.102.BLEED.129,MHR.102,no,129,4/19/2018,,
MHR.103.BLEED.196,MHR.103,no,196,4/19/2018,,
MHR.104.BLEED.196,MHR.104,no,196,4/19/2018,,
MHR.105.BLEED.314,MHR.105,no,314,4/19/2018,other organism present (sponge?),
MHR.106.BLEED.314,MHR.106,no,314,4/19/2018,other organism present (sponge?),
MHR.107.BLEED.189,MHR.107,no,189,4/19/2018,,
MHR.108.BLEED.189,MHR.108,no,189,4/19/2018,,
MHR.109.BLEED.023,MHR.109,no,23,4/20/2018,other bryozoans present,
MHR.110.BLEED.023,MHR.110,no,23,4/20/2018,other bryozoans present,
MHR.111.BLEED.119,MHR.111,no,119,4/20/2018,other bryozoans present,
MHR.112.BLEED.119,MHR.112,no,119,4/20/2018,other bryozoans present,
MHR.113.BLEED.417,MHR.113,no,417,4/20/2018,,
MHR.114.BLEED.417,MHR.114,no,417,4/20/2018,,
MHR.115.BLEED.227,MHR.115,yes,227,4/20/2018,,
MHR.116.BLEED.227,MHR.116,yes,227,4/20/2018,,
MHR.117.BLEED.208,MHR.117,yes,208,4/20/2018,,
MHR.118.BLEED.208,MHR.118,yes,208,4/20/2018,,
MHR.119.BLEED.410,MHR.119,yes,410,4/20/2018,,
MHR.120.BLEED.410,MHR.120,yes,410,4/20/2018,,
MHR.121.BLEED.043,MHR.121,yes,43,4/20/2018,,
MHR.122.BLEED.043,MHR.122,yes,43,4/20/2018,,
MHR.123.BLEED.129,MHR.123,yes,129,4/20/2018,,
MHR.124.BLEED.129,MHR.124,yes,129,4/20/2018,,
MHR.125.BLEED.082,MHR.125,yes,82,4/20/2018,,
MHR.126.BLEED.082,MHR.126,yes,82,4/20/2018,,
MHR.127.BLEED.014,MHR.127,yes,14,4/20/2018,,
MHR.128.BLEED.014,MHR.128,yes,14,4/20/2018,,
MHR.129.BLEED.390,MHR.129,yes,390,4/20/2018,,
MHR.130.BLEED.390,MHR.130,yes,390,4/20/2018,,
MHR.131.BLEED.412,MHR.131,no,412,4/20/2018,,
MHR.132.BLEED.412,MHR.132,no,412,4/20/2018,,
MHR.133.BLEED.430,MHR.133,no,430,4/20/2018,,
MHR.134.BLEED.430,MHR.134,no,430,4/20/2018,,
MHR.135.BLEED.047,MHR.135,no,47,4/20/2018,,
MHR.136.BLEED.047,MHR.136,no,47,4/20/2018,,
MHR.137.BLEED.019,MHR.137,no,19,4/20/2018,,
MHR.138.BLEED.019,MHR.138,no,19,4/20/2018,,
MHR.139.BLEED.025,MHR.139,no,25,4/23/2018,,
MHR.140.BLEED.025,MHR.140,no,25,4/23/2018,,
MHR.141.BLEED.187,MHR.141,no,187,4/23/2018,,
MHR.142.BLEED.187,MHR.142,no,187,4/23/2018,,
MHR.143.BLEED.021,MHR.143,no,21,4/23/2018,other bryozoans present,
MHR.144.BLEED.021,MHR.144,no,21,4/23/2018,other bryozoans present,
MHR.145.BLEED.175,MHR.145,no,175,4/23/2018,,
MHR.146.BLEED.175,MHR.146,no,175,4/23/2018,,
MHR.147.BLEED.032,MHR.147,no,32,4/23/2018,other bryozoans present,
MHR.148.BLEED.032,MHR.148,no,32,4/23/2018,other bryozoans present,
MHR.149.BLEED.423,MHR.149,no,423,4/23/2018,,
MHR.150.BLEED.423,MHR.150,no,423,4/23/2018,,
MHR.151.BLEED.401,MHR.151,no,401,4/23/2018,,
MHR.152.BLEED.401,MHR.152,no,401,4/23/2018,,
MHR.153.BLEED.429,MHR.153,no,429,4/23/2018,,
MHR.154.BLEED.429,MHR.154,no,429,4/23/2018,,
MHR.155.BLEED.418,MHR.155,no,418,4/23/2018,,
MHR.156.BLEED.418,MHR.156,no,418,4/23/2018,,
MHR.157.BLEED.242,MHR.157,no,242,4/23/2018,other bryozoans present,
MHR.158.BLEED.242,MHR.158,no,242,4/23/2018,other bryozoans present,
MHR.159.BLEED.438,MHR.159,no,438,4/23/2018,,
MHR.160.BLEED.438,MHR.160,no,438,4/23/2018,,
MHR.161.BLEED.439,MHR.161,no,439,4/23/2018,,
MHR.162.BLEED.439,MHR.162,no,439,4/23/2018,,
MHR.163.BLEED.413,MHR.163,no,413,4/23/2018,,
MHR.164.BLEED.413,MHR.164,no,413,4/23/2018,,
MHR.165.BLEED.422,MHR.165,no,422,4/23/2018,,
MHR.166.BLEED.422,MHR.166,no,422,4/23/2018,,
MHR.167.BLEED.096,MHR.167,no,96,4/23/2018,other bryozoans present,
MHR.168.BLEED.096,MHR.168,no,96,4/23/2018,other bryozoans present,
MHR.169.BLEED.051,MHR.169,no,51,4/23/2018,,
MHR.170.BLEED.051,MHR.170,no,51,4/23/2018,,
MHR.171.BLEED.220,MHR.171,no,220,4/23/2018,other bryozoans present,
MHR.172.BLEED.220,MHR.172,no,220,4/23/2018,other bryozoans present,
MHR.173.BLEED.398,MHR.173,no,398,4/24/2018,,
MHR.174.BLEED.398,MHR.174,no,398,4/24/2018,,
MHR.175.BLEED.190,MHR.175,no,190,4/24/2018,,
MHR.176.BLEED.190,MHR.176,no,190,4/24/2018,,
MHR.177.BLEED.433,MHR.177,no,433,4/24/2018,,
MHR.178.BLEED.433,MHR.178,no,433,4/24/2018,,
MHR.179.BLEED.432,MHR.179,no,432,4/24/2018,,
MHR.180.BLEED.432,MHR.180,no,432,4/24/2018,,
MHR.181.BLEED.019,MHR.181,yes,19,4/24/2018,"ANASCAN (30-40%, RØRER IKKE)",
MHR.182.BLEED.019,MHR.182,YES,19,4/24/2018,"ANASCAN (30-40%, RØRER IKKE)",
MHR.183.BLEED.119,MHR.183,YES,119,4/24/2018,"ANASCAN (20%, SMITTINA (ROSACEA?) 30%)",
MHR.184.BLEED.119,MHR.184,YES,119,4/24/2018,"ANASCAN (20%, SMITTINA (ROSACEA?) 30%)",
MHR.185.BLEED.023,MHR.185,YES,23,4/24/2018,"VALDEMUNITELLA VALDEMUNITA (5%, MICROPORELLA (?, FOULED BY ANGUSTIPORA!), FILAGURIA (< 3%, EURYSTOMELLA BIPERFORATA 5%",
MHR.186.BLEED.023,MHR.186,YES,23,4/24/2018,"VALDEMUNITELLA VALDEMUNITA (5%, MICROPORELLA (?, FOULED BY ANGUSTIPORA!), FILAGURIA (< 3%, EURYSTOMELLA BIPERFORATA 5%",
MHR.187.BLEED.051,MHR.187,YES,51,4/24/2018,,
MHR.188.BLEED.051,MHR.188,YES,51,4/24/2018,,
MHR.189.BLEED.047,MHR.189,YES,47,4/24/2018,,
MHR.190.BLEED.047,MHR.190,YES,47,4/24/2018,,
MHR.191.BLEED.439,MHR.191,YES,439,4/24/2018,,
MHR.192.BLEED.439,MHR.192,YES,439,4/24/2018,,
MHR.193.BLEED.187,MHR.193,YES,187,4/24/2018,,
MHR.194.BLEED.187,MHR.194,YES,187,4/24/2018,,
MHR.195.BLEED.418,MHR.195,YES,418,4/24/2018,,
MHR.196.BLEED.418,MHR.196,YES,418,4/24/2018,,
MHR.197.BLEED.422,MHR.197,YES,422,4/24/2018,,
MHR.198.BLEED.422,MHR.198,YES,422,4/24/2018,,
MHR.199.BLEED.438,MHR.199,YES,438,4/24/2018,,
MHR.200.BLEED.438,MHR.200,YES,438,4/24/2018,,
MHR.201.BLEED.430,MHR.201,YES,430,4/25/2018,,
MHR.202.BLEED.430,MHR.202,YES,430,4/25/2018,,
MHR.203.BLEED.417,MHR.203,YES,417,4/25/2018,,
MHR.204.BLEED.417,MHR.204,YES,417,4/25/2018,,
MHR.205.BLEED.032,MHR.205,YES,32,4/25/2018,"CELLEPORINA 10%, VALDEMUNITELLA VALDEMUNITA (20%) SOME UNDER MICROPORELLA SO POSSIBLE CONTAMINATION, ANTARCTOTHOA TONGIMA < 3%",
MHR.206.BLEED.032,MHR.206,YES,32,4/25/2018,"CELLEPORINA 10%, VALDEMUNITELLA VALDEMUNITA (20%) SOME UNDER MICROPORELLA SO POSSIBLE CONTAMINATION, ANTARCTOTHOA TONGIMA < 3%",
MHR.207.BLEED.441,MHR.207,NO,441,4/25/2018,,
MHR.208.BLEED.441,MHR.208,NO,441,4/25/2018,,
MHR.209.BLEED.444,MHR.209,NO,444,4/25/2018,,
MHR.210.BLEED.444,MHR.210,NO,444,4/25/2018,,
MHR.211.BLEED.414,MHR.211,NO,414,4/25/2018,,
MHR.212.BLEED.414,MHR.212,NO,414,4/25/2018,,
MHR.213.BLEED.421,MHR.213,NO,421,4/25/2018,,
MHR.214.BLEED.421,MHR.214,NO,421,4/25/2018,,
MHR.215.BLEED.427,MHR.215,NO,427,4/25/2018,RUNNER,
MHR.216.BLEED.427,MHR.216,NO,427,4/25/2018,RUNNER,
MHR.217.BLEED.431,MHR.217,NO,431,4/25/2018,,
MHR.218.BLEED.431,MHR.218,NO,431,4/25/2018,,
MHR.219.BLEED.433,MHR.219,YES,433,4/25/2018,,
MHR.220.BLEED.433,MHR.220,YES,433,4/25/2018,,
MHR.221.BLEED.432,MHR.221,YES,432,4/25/2018,,
MHR.222.BLEED.432,MHR.222,YES,432,4/25/2018,,
MHR.223.BLEED.426,MHR.223,NO,426,4/25/2018,,
MHR.224.BLEED.426,MHR.224,NO,426,4/25/2018,,
MHR.225.BLEED.415,MHR.225,NO,415,4/25/2018,,
MHR.226.BLEED.415,MHR.226,NO,415,4/25/2018,,
MHR.227.BLEED.456,MHR.227,NO,456,4/25/2018,,
MHR.228.BLEED.456,MHR.228,NO,456,4/25/2018,,
MHR.229.BLEED.185,MHR.229,NO,185,4/26/2018,,
MHR.230.BLEED.185,MHR.230,NO,185,4/26/2018,,
MHR.231.BLEED.409,MHR.231,NO,409,4/26/2018,,
MHR.232.BLEED.409,MHR.232,NO,409,4/26/2018,CHEILO UNDERNEATH SO POSSIBLY CONTAMINATION,
MHR.233.BLEED.441,MHR.233,YES,441,4/26/2018,,
MHR.234.BLEED.441,MHR.234,YES,441,4/26/2018,,
MHR.235.BLEED.444,MHR.235,YES,444,4/26/2018,,
MHR.236.BLEED.444,MHR.236,YES,444,4/26/2018,,
MHR.237.BLEED.427,MHR.237,YES,427,4/26/2018,,
MHR.238.BLEED.427,MHR.238,YES,427,4/26/2018,,
MHR.239.BLEED.426,MHR.239,YES,426,4/26/2018,,
MHR.240.BLEED.426,MHR.240,YES,426,4/26/2018,,
MHR.241.BLEED.415,MHR.241,YES,415,4/26/2018,,
MHR.242.BLEED.415,MHR.242,YES,415,4/26/2018,,
MHR.243.BLEED.456,MHR.243,YES,456,4/26/2018,,
MHR.244.BLEED.456,MHR.244,YES,456,4/26/2018,,
MHR.245.BLEED.206,MHR.245,NO,206,4/26/2018,,
MHR.246.BLEED.206,MHR.246,NO,206,4/26/2018,,
MHR.247.BLEED.407,MHR.247,NO,407,4/26/2018,,
MHR.248.BLEED.407,MHR.248,NO,407,4/26/2018,,
MHR.249.BLEED.408,MHR.249,NO,408,4/26/2018,,
MHR.250.BLEED.408,MHR.250,NO,408,4/26/2018,,
MHR.251.BLEED.402,MHR.251,NO,402,4/26/2018,,
MHR.252.BLEED.402,MHR.252,NO,402,4/26/2018,,
MHR.253.BLEED.394,MHR.253,NO,394,4/26/2018,,
MHR.254.BLEED.394,MHR.254,NO,394,4/26/2018,,
MHR.255.BLEED.046,MHR.255,NO,46,4/26/2018,,
MHR.256.BLEED.046,MHR.256,NO,46,4/26/2018,,
MHR.257.BLEED.223,MHR.257,NO,223,4/26/2018,,
MHR.258.BLEED.223,MHR.258,NO,223,4/26/2018,,
MHR.259.BLEED.406,MHR.259,NO,406,4/26/2018,,
MHR.260.BLEED.406,MHR.260,NO,406,4/26/2018,,
MHR.261.BLEED.380,MHR.261,NO,380,4/26/2018,,
MHR.262.BLEED.380,MHR.262,NO,380,4/26/2018,,
MHR.263.BLEED.164,MHR.263,NO,164,4/26/2018,,
MHR.264.BLEED.164,MHR.264,NO,164,4/26/2018,,
MHR.265.BLEED.407,MHR.265,YES,407,4/27/2018,,
MHR.266.BLEED.407,MHR.266,YES,407,4/27/2018,,
MHR.267.BLEED.408,MHR.267,YES,408,4/27/2018,,
MHR.268.BLEED.408,MHR.268,YES,408,4/27/2018,,
MHR.269.BLEED.409,MHR.269,YES,409,4/27/2018,,
MHR.270.BLEED.409,MHR.270,YES,409,4/27/2018,,
MHR.271.BLEED.046,MHR.271,YES,46,4/27/2018,,
MHR.272.BLEED.046,MHR.272,YES,46,4/27/2018,,
MHR.273.BLEED.185,MHR.273,YES,185,4/27/2018,,
MHR.274.BLEED.185,MHR.274,YES,185,4/27/2018,,
MHR.275.BLEED.206,MHR.275,YES,206,4/27/2018,,
MHR.276.BLEED.206,MHR.276,YES,206,4/27/2018,,
MHR.277.BLEED.380,MHR.277,YES,380,4/27/2018,,
MHR.278.BLEED.380,MHR.278,YES,380,4/27/2018,,
MHR.279.BLEED.213,MHR.279,NO,213,4/30/2018,,
MHR.280.BLEED.213,MHR.280,NO,213,4/30/2018,,
MHR.281.BLEED.219,MHR.281,NO,219,4/30/2018,,
MHR.282.BLEED.219,MHR.282,NO,219,4/30/2018,,
MHR.283.BLEED.097,MHR.283,NO,97,4/30/2018,,
MHR.284.BLEED.097,MHR.284,NO,97,4/30/2018,,
MHR.285.BLEED.397,MHR.285,NO,397,4/30/2018,OTHER CHEILOSTOMES PRESENT,
MHR.286.BLEED.397,MHR.286,NO,397,4/30/2018,OTHER CHEILOSTOMES PRESENT,
MHR.287.BLEED.336,MHR.287,NO,336,4/30/2018,"SMITTINA? AND ANOTHER CHEILO UNDER SO POSSIBLY CONTAMINATION, EURYSTOMELLA BIPERFORATA ON THE OTHER SIDE OF THE SHELL",
MHR.288.BLEED.336,MHR.288,NO,336,4/30/2018,"SMITTINA? AND ANOTHER CHEILO UNDER SO POSSIBLY CONTAMINATION, EURYSTOMELLA BIPERFORATA ON THE OTHER SIDE OF THE SHELL",
MHR.289.BLEED.404,MHR.289,NO,404,4/30/2018,,
MHR.290.BLEED.404,MHR.290,NO,404,4/30/2018,,
MHR.291.BLEED.475,MHR.291,NO,475,4/30/2018,,
MHR.292.BLEED.475,MHR.292,NO,475,4/30/2018,,
MHR.293.BLEED.244,MHR.293,NO,244,4/30/2018,"2 CYCLOSTOME COLONIES < %5, CREPIDICANTHA CRINISPINA (10%?) UNDER, MICROPORA 5%, COSCINIOPSIS VALLATA < 3% UNDER, ANASCAN < 3% UNDER + CHEILO 10%",
MHR.294.BLEED.244,MHR.294,NO,244,4/30/2018,"2 CYCLOSTOME COLONIES < %5, CREPIDICANTHA CRINISPINA (10%?) UNDER, MICROPORA 5%, COSCINIOPSIS VALLATA < 3% UNDER, ANASCAN < 3% UNDER + CHEILO 10%",
MHR.295.BLEED.453,MHR.295,NO,453,4/30/2018,,
MHR.296.BLEED.453,MHR.296,NO,453,4/30/2018,,
MHR.297.BLEED.464,MHR.297,NO,464,4/30/2018,,
MHR.298.BLEED.464,MHR.298,NO,464,4/30/2018,,
MHR.299.BLEED.467,MHR.299,NO,467,4/30/2018,,
MHR.300.BLEED.467,MHR.300,NO,467,4/30/2018,,
MHR.301.BLEED.474,MHR.301,NO,474,4/30/2018,,
MHR.302.BLEED.474,MHR.302,NO,474,4/30/2018,,
MHR.303.BLEED.478,MHR.303,NO,478,4/30/2018,,
MHR.304.BLEED.478,MHR.304,NO,478,4/30/2018,,
MHR.305.BLEED.445,MHR.305,NO,445,4/30/2018,,
MHR.306.BLEED.445,MHR.306,NO,445,4/30/2018,,
MHR.307.BLEED.482,MHR.307,NO,482,4/30/2018,,
MHR.308.BLEED.482,MHR.308,NO,482,4/30/2018,,
MHR.309.BLEED.465,MHR.309,NO,465,4/30/2018,,
MHR.310.BLEED.465,MHR.310,NO,465,4/30/2018,,
MHR.311.BLEED.462,MHR.311,NO,462,4/30/2018,,
MHR.312.BLEED.462,MHR.312,NO,462,4/30/2018,,
MHR.313.BLEED.480,MHR.313,NO,480,4/30/2018,,
MHR.314.BLEED.480,MHR.314,NO,480,4/30/2018,,
MHR.315.BLEED.449,MHR.315,NO,449,4/30/2018,,
MHR.316.BLEED.449,MHR.316,NO,449,4/30/2018,,
MHR.317.BLEED.479,MHR.317,NO,479,5/2/2018,,
MHR.318.BLEED.479,MHR.318,NO,479,5/2/2018,,
MHR.319.BLEED.450,MHR.319,NO,450,5/2/2018,,
MHR.320.BLEED.450,MHR.320,NO,450,5/2/2018,,
MHR.321.BLEED.471,MHR.321,NO,471,5/2/2018,,
MHR.322.BLEED.471,MHR.322,NO,471,5/2/2018,,
MHR.323.BLEED.472,MHR.323,NO,472,5/2/2018,POSSIBLY ANOTHER CHEILOSTOME CONNECTED,
MHR.324.BLEED.472,MHR.324,NO,472,5/2/2018,POSSIBLY ANOTHER CHEILOSTOME CONNECTED,
MHR.325.BLEED.383,MHR.325,NO,383,5/2/2018,,
MHR.326.BLEED.383,MHR.326,NO,383,5/2/2018,,
MHR.327.BLEED.461,MHR.327,NO,461,5/2/2018,,
MHR.328.BLEED.461,MHR.328,NO,461,5/2/2018,,
MHR.329.BLEED.473,MHR.329,NO,473,5/2/2018,,
MHR.330.BLEED.473,MHR.330,NO,473,5/2/2018,,
MHR.331.BLEED.458,MHR.331,NO,458,5/2/2018,,
MHR.332.BLEED.458,MHR.332,NO,458,5/2/2018,,
MHR.333.BLEED.385,MHR.333,NO,385,5/2/2018,,
MHR.334.BLEED.385,MHR.334,NO,385,5/2/2018,,
MHR.335.BLEED.384,MHR.335,NO,384,5/2/2018,,
MHR.336.BLEED.384,MHR.336,NO,384,5/2/2018,,
MHR.337.BLEED.460,MHR.337,NO,460,5/2/2018,,
MHR.338.BLEED.460,MHR.338,NO,460,5/2/2018,,
MHR.339.BLEED.194,MHR.339,NO,194,5/2/2018,,
MHR.340.BLEED.194,MHR.340,NO,194,5/2/2018,,
MHR.341.BLEED.459,MHR.341,NO,459,5/2/2018,,
MHR.342.BLEED.459,MHR.342,NO,459,5/2/2018,,
MHR.343.BLEED.322,MHR.343,NO,322,5/2/2018,,
MHR.344.BLEED.322,MHR.344,NO,322,5/2/2018,,
MHR.345.BLEED.470,MHR.345,NO,470,5/2/2018,,
MHR.346.BLEED.470,MHR.346,NO,470,5/2/2018,,
MHR.347.BLEED.486,MHR.347,NO,486,5/2/2018,,
MHR.348.BLEED.486,MHR.348,NO,486,5/2/2018,,
MHR.349.BLEED.157,MHR.349,NO,157,5/2/2018,OTHER CHEILO ATTACHED SO POSSIBLE CONTAMINATION. POSSIBLY GROWING ON ANOTHER BRYOZOA,
MHR.350.BLEED.157,MHR.350,NO,157,5/2/2018,OTHER CHEILO ATTACHED SO POSSIBLE CONTAMINATION. POSSIBLY GROWING ON ANOTHER BRYOZOA,
MHR.351.BLEED.447,MHR.351,NO,447,5/2/2018,,
MHR.352.BLEED.447,MHR.352,NO,447,5/2/2018,,
MHR.353.BLEED.469,MHR.353,NO,469,5/3/2018,,
MHR.354.BLEED.469,MHR.354,NO,469,5/3/2018,,
MHR.355.BLEED.463,MHR.355,NO,463,5/3/2018,,
MHR.356.BLEED.463,MHR.356,NO,463,5/3/2018,,
MHR.357.BLEED.310,MHR.357,NO,310,5/3/2018,,
MHR.358.BLEED.310,MHR.358,NO,310,5/3/2018,,
MHR.359.BLEED.449,MHR.359,YES,449,5/3/2018,,
MHR.360.BLEED.449,MHR.360,YES,449,5/3/2018,,
MHR.361.BLEED.479,MHR.361,YES,479,5/3/2018,,
MHR.362.BLEED.479,MHR.362,YES,479,5/3/2018,,
MHR.363.BLEED.397,MHR.363,YES,397,5/3/2018,,
MHR.364.BLEED.397,MHR.364,YES,397,5/3/2018,,
MHR.365.BLEED.244,MHR.365,YES,244,5/3/2018,,
MHR.366.BLEED.244,MHR.366,YES,244,5/3/2018,,
MHR.367.BLEED.336,MHR.367,YES,336,5/3/2018,,
MHR.368.BLEED.336,MHR.368,YES,336,5/3/2018,,
MHR.369.BLEED.478,MHR.369,YES,478,5/3/2018,,
MHR.370.BLEED.478,MHR.370,YES,478,5/3/2018,,
MHR.371.BLEED.464,MHR.371,YES,464,5/3/2018,,
MHR.372.BLEED.464,MHR.372,YES,464,5/3/2018,,
MHR.373.BLEED.480,MHR.373,YES,480,5/3/2018,,
MHR.374.BLEED.480,MHR.374,YES,480,5/3/2018,,
MHR.375.BLEED.475,MHR.375,YES,475,5/3/2018,,
MHR.376.BLEED.475,MHR.376,YES,475,5/3/2018,,
MHR.377.BLEED.462,MHR.377,YES,462,5/3/2018,,
MHR.378.BLEED.462,MHR.378,YES,462,5/3/2018,,
MHR.379.BLEED.453,MHR.379,YES,453,5/3/2018,,
MHR.380.BLEED.453,MHR.380,YES,453,5/3/2018,,
MHR.381.BLEED.474,MHR.381,YES,474,5/3/2018,,
MHR.382.BLEED.474,MHR.382,YES,474,5/3/2018,,
MHR.383.BLEED.447,MHR.383,YES,447,5/3/2018,,
MHR.384.BLEED.447,MHR.384,YES,447,5/3/2018,,
MHR.385.BLEED.467,MHR.385,YES,467,5/3/2018,,
